host_since,host_response_time,host_response_rate percentage,host_is_superhost,host_total_listings_count,Number of Verication ways,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,calendar_updated_Daysago,number_of_reviews,lates_review within a month?,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,average_price
2014,Not Sure,96.40529571,f,1,5,t,t,South End,2118,Apartment,Private room,2,1.5,1,1,Real Bed,8,204.28,25,1,0,2,1410,1,f,80,8,8,10,10,8,8,f,flexible,f,f,1,0,1,0,0.02,85
2013,within a few hours,98,f,441,6,t,t,Back Bay,2116,Apartment,Entire home/apt,5,1,2,3,Real Bed,33,204.28,100,1,0,3,0,7,f,73,8,7,8,8,10,8,f,moderate,f,t,116,116,0,0,0.14,424.64
2011,Not Sure,96.40529571,f,1,5,t,t,Jamaica Plain,2130,House,Entire home/apt,7,2,3,4,Real Bed,19,500,140,2,50,2,540,3,f,93,9,9,9,9,9,9,f,flexible,f,f,1,1,0,0,0.06,300
2011,Not Sure,96.40529571,f,1,6,t,t,Back Bay,2115,Apartment,Private room,2,1,1,1,Real Bed,13,204.28,20,1,20,1,1290,13,f,80,9,8,9,9,10,8,f,strict_14_with_grace_period,f,f,1,0,1,0,0.23,100
2015,Not Sure,96.40529571,f,1,4,t,f,Mission Hill,2120,Apartment,Private room,1,1,1,1,Real Bed,11,204.28,72.07,1,20,1,1410,2,f,93.03,9.58,9.43,9.73,9.67,9.58,9.26,f,flexible,f,f,1,0,1,0,0.04,60
2014,Not Sure,96.40529571,f,1,5,t,t,Allston,2134,Apartment,Private room,2,1,1,1,Real Bed,14,204.28,10,1,0,3,870,3,f,90,10,9,10,10,10,10,t,flexible,f,f,1,0,1,0,0.06,94.3
2012,Not Sure,96.40529571,f,1,5,t,t,Jamaica Plain,2130,House,Entire home/apt,9,2,4,6,Real Bed,13,200,100,8,50,5,1230,5,f,96,10,10,10,10,7,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.06,250
2011,Not Sure,96.40529571,f,1,4,t,t,West Roxbury,2132,House,Entire home/apt,3,1,2,2,Real Bed,10,204.28,72.07,1,0,1,1440,3,f,93,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.06,100
2015,Not Sure,96.40529571,f,2,9,t,t,Allston,2134,Apartment,Private room,2,1,1,1,Real Bed,10,200,20,1,0,1,1440,2,f,90,10,10,10,10,10,10,f,moderate,f,f,2,1,1,0,0.04,76
2014,Not Sure,96.40529571,f,1,5,t,t,Mission Hill,2130,Apartment,Private room,2,1,1,1,Real Bed,13,204.28,10,1,25,2,1320,3,f,80,8,7,10,10,10,7,f,strict_14_with_grace_period,f,f,1,0,1,0,0.06,90
2012,Not Sure,96.40529571,f,1,6,t,t,Mission Hill,2120,Apartment,Private room,2,2,1,1,Real Bed,10,204.28,30,1,10,1,1350,8,f,75,9,8,8,8,9,7,f,flexible,f,f,1,0,1,0,0.16,71.85
2013,Not Sure,96.40529571,f,1,5,t,t,Roxbury,2118,Apartment,Private room,2,1,1,1,Real Bed,11,204.28,72.07,1,20,1,1410,2,f,100,8,10,10,10,10,8,f,flexible,f,f,1,0,1,0,0.04,134.27
2014,Not Sure,96.40529571,f,1,6,t,t,Jamaica Plain,2130,Apartment,Entire home/apt,2,1,1,1,Real Bed,21,204.28,50,1,0,2,480,3,f,100,10,10,10,10,10,9,f,flexible,f,f,1,1,0,0,0.06,200
2015,Not Sure,96.40529571,f,1,5,t,t,Allston,2134,House,Private room,1,2,1,1,Futon,10,125,10,1,0,1,1260,1,f,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1,0,1,0,0.02,44.7
2012,Not Sure,96.40529571,f,1,5,t,t,Downtown,2116,Apartment,Entire home/apt,5,1.5,2,2,Real Bed,14,300,120,5,50,1,1290,5,f,90,10,9,8,9,9,9,f,flexible,f,f,1,1,0,0,0.08,350
2013,Not Sure,96.40529571,f,1,4,t,t,Dorchester,2125,Apartment,Private room,1,1,1,1,Real Bed,18,100,15,1,0,2,1350,5,f,80,10,10,10,8,9,8,f,moderate,f,f,1,0,1,0,0.1,76
2015,Not Sure,96.40529571,f,1,3,t,f,Allston,2134,Apartment,Entire home/apt,3,1,2,2,Real Bed,11,204.28,72.07,1,0,1,1380,1,f,100,10,8,10,10,8,8,f,flexible,f,f,1,1,0,0,0.02,200
2014,within a day,100,f,2,4,t,f,Jamaica Plain,2130,House,Private room,2,1,1,1,Real Bed,9,204.28,10,1,25,1,1290,2,f,90,9,9,9,9,10,9,f,strict_14_with_grace_period,f,f,1,0,1,0,0.04,65
2014,Not Sure,96.40529571,f,1,5,t,t,Roxbury,2119,House,Private room,2,1,1,1,Real Bed,12,204.28,25,1,9,1,840,2,f,70,8,6,8,8,7,7,f,strict_14_with_grace_period,f,f,1,0,1,0,0.04,79
2014,Not Sure,96.40529571,f,1,7,t,t,North End,2113,Apartment,Entire home/apt,4,1,2,2,Real Bed,7,204.28,25,1,25,2,630,2,f,100,10,8,10,10,10,10,f,flexible,f,f,1,1,0,0,0.04,185
2014,Not Sure,96.40529571,f,1,6,t,t,Roxbury,2119,Apartment,Private room,2,2,1,1,Real Bed,14,204.28,20,1,20,1,900,31,f,97,9,9,10,10,9,9,f,moderate,f,f,1,0,1,0,0.62,80
2010,within a few hours,100,f,4,4,t,t,Charlestown,2129,Bed and breakfast,Private room,2,1,1,1,Real Bed,29,204.28,25,1,0,2,0,2,f,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,3,2,1,0,0.04,210
2012,Not Sure,96.40529571,f,1,4,t,t,South End,2116,Apartment,Entire home/apt,4,1,2,2,Real Bed,15,204.28,45,2,15,2,1380,1,f,100,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.02,290
2015,Not Sure,96.40529571,f,1,5,t,t,South End,2118,Condominium,Entire home/apt,2,2,1,1,Real Bed,14,250,90,2,50,14,1440,2,f,100,10,10,10,10,10,10,t,strict_14_with_grace_period,f,f,1,1,0,0,0.04,200
2015,within a few hours,99,f,778,6,t,f,Fenway,2215,Apartment,Entire home/apt,3,1,1,2,Real Bed,34,204.28,100,1,0,3,0,1,f,100,10,10,10,10,2,2,f,strict_14_with_grace_period,f,f,134,134,0,0,0.02,483.77
2014,Not Sure,96.40529571,f,1,5,t,t,Dorchester,2122,Apartment,Private room,2,2,1,2,Real Bed,14,300,19,2,75,1,1380,4,f,75,9,8,9,10,9,9,f,flexible,f,f,1,0,1,0,0.08,59
2014,within an hour,90,f,22,3,t,f,Dorchester,2125,Apartment,Private room,2,1,1,1,Real Bed,28,0,150,1,25,28,4,1,f,100,9.58,9.43,9.73,10,8,10,f,moderate,f,f,8,0,8,0,0.02,75.21
2012,Not Sure,96.40529571,f,1,4,t,t,Jamaica Plain,2130,House,Entire home/apt,6,2.5,3,4,Real Bed,18,250,150,4,40,3,420,12,f,96,9,9,9,9,9,9,f,moderate,f,f,1,1,0,0,0.14,375
2015,Not Sure,96.40529571,f,1,3,t,f,North End,2113,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,10,204.28,50,1,0,1,1290,6,f,90,10,8,9,9,10,9,f,flexible,f,f,1,1,0,0,0.12,200
2014,Not Sure,96.40529571,f,1,4,t,t,South End,2118,Apartment,Entire home/apt,6,1,2,3,Real Bed,16,1000,100,2,25,5,28,10,f,100,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.17,500
2013,a few days or more,0,f,1,4,t,t,North End,2113,Apartment,Entire home/apt,4,1,2,2,Real Bed,13,204.28,100,1,0,7,660,20,f,91,9,10,10,9,10,9,f,moderate,f,f,1,1,0,0,0.28,399
2015,Not Sure,96.40529571,f,1,7,t,t,South Boston,2127,Apartment,Entire home/apt,4,1,2,2,Real Bed,15,500,70,1,0,2,1290,5,f,88,9,8,10,10,8,8,t,flexible,f,f,1,1,0,0,0.11,205.7
2015,Not Sure,96.40529571,f,1,6,t,t,Allston,2134,Apartment,Entire home/apt,2,1,1,1,Real Bed,13,204.28,30,2,25,2,990,3,f,87,9,10,9,9,9,10,f,moderate,f,f,1,1,0,0,0.06,175
2013,Not Sure,96.40529571,f,1,3,t,f,Charlestown,2129,Apartment,Private room,2,1,1,1,Real Bed,15,204.28,72.07,1,0,1,900,2,f,100,10,10,10,10,10,10,f,flexible,f,f,1,0,1,0,0.04,200
2015,Not Sure,96.40529571,f,1,9,t,f,Allston,2134,Apartment,Entire home/apt,4,1,1,1,Real Bed,11,204.28,72.07,1,0,2,180,5,f,96,10,9,10,10,10,10,f,flexible,f,f,1,1,0,0,0.1,130
2015,Not Sure,96.40529571,f,1,5,t,t,North End,2109,Apartment,Entire home/apt,6,2,2,3,Real Bed,16,500,75,4,50,5,90,8,f,98,10,9,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.16,600
2012,Not Sure,96.40529571,f,1,4,t,t,Beacon Hill,2108,Apartment,Entire home/apt,4,1,1,2,Real Bed,14,204.28,30,2,0,1,990,5,f,88,10,10,10,10,10,9,f,flexible,f,f,1,1,0,0,0.1,180.41
2015,Not Sure,96.40529571,f,1,5,t,t,Jamaica Plain,2130,Apartment,Private room,2,1,1,1,Real Bed,16,150,40,1,0,2,1350,2,f,100,10,10,10,10,10,10,f,moderate,f,f,1,0,1,0,0.04,104.98
2015,Not Sure,96.40529571,f,1,2,t,f,Dorchester,2125,Apartment,Entire home/apt,3,1,1,1,Real Bed,23,204.28,100,1,0,14,930,1,f,93.03,9.58,9.43,9.73,9.67,9.58,9.26,f,strict_14_with_grace_period,f,f,1,1,0,0,0.02,100
2012,Not Sure,96.40529571,f,1,5,t,t,Back Bay,2116,Apartment,Entire home/apt,2,1,1,1,Real Bed,2,100,30,1,0,2,870,15,f,96,9,9,10,9,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.28,225
2014,within a day,100,f,1,8,t,t,Beacon Hill,2108,Apartment,Entire home/apt,2,1,0,1,Real Bed,14,350,85,3,0,1,60,82,f,94,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,1,1,0,0,1.34,220
2015,Not Sure,96.40529571,f,1,3,t,f,Back Bay,2115,Apartment,Entire home/apt,2,1,1,1,Futon,8,204.28,100,1,0,7,1380,1,f,60,8,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.02,160
