host_response_rate.percentage,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,Number.of.amenities,security_deposit,cleaning_fee,instant_bookable,cancellation_policy,require_guest_phone_verification,average_price,if_review_score96,sqrt.host_total_listings_count,sqrt.accommodates,sqrt.security_deposit,sqrt.number_of_reviews,HierCluster,KMeansCluster
96.40529571,1,t,Leather District,Condominium,Entire home/apt,2,1,1,Real Bed,14,204.28,72.07,f,moderate,f,179,t,1,1.414213562,14.29265546,1.414213562,1,6
96.40529571,1,t,North End,Apartment,Entire home/apt,3,1,1,Real Bed,21,204.28,85,f,strict_14_with_grace_period,f,248.58,f,1,1.732050808,14.29265546,3.16227766,2,6
96.40529571,1,t,Dorchester,House,Entire home/apt,4,2,2,Real Bed,14,200,72.07,f,strict_14_with_grace_period,f,120,t,1,2,14.14213562,1.414213562,2,6
96.40529571,2,f,South End,Loft,Entire home/apt,2,1,1,Real Bed,16,204.28,72.07,f,flexible,f,100,t,1.414213562,1.414213562,14.29265546,1,3,6
96.40529571,1,t,North End,Apartment,Private room,2,1,1,Real Bed,12,204.28,72.07,f,flexible,f,130,t,1,1.414213562,14.29265546,1,4,6
100,1,t,Brighton,Apartment,Private room,2,1,1,Real Bed,31,0,72.07,t,moderate,f,95.07,f,1,1.414213562,0,6.557438524,5,1
96.40529571,1,t,North End,Apartment,Private room,2,1,1,Real Bed,15,204.28,72.07,f,moderate,f,103,t,1,1.414213562,14.29265546,1.414213562,1,6
96.40529571,1,f,Jamaica Plain,Apartment,Entire home/apt,4,1,2,Real Bed,13,204.28,72.07,f,flexible,f,160,f,1,2,14.29265546,4.69041576,3,6
96.40529571,1,t,Mission Hill,Apartment,Entire home/apt,4,1,1,Real Bed,19,250,30,f,strict_14_with_grace_period,f,109,f,1,2,15.8113883,2.449489743,2,6
96.40529571,1,t,North End,Apartment,Entire home/apt,6,1,3,Real Bed,13,204.28,72.07,f,flexible,f,175,f,1,2.449489743,14.29265546,1.732050808,3,3
96.40529571,1,f,Allston,Apartment,Entire home/apt,2,1,1,Real Bed,18,204.28,72.07,f,strict_14_with_grace_period,f,150,t,1,1.414213562,14.29265546,1,2,6
99,778,f,Fenway,Apartment,Entire home/apt,5,2,2,Real Bed,23,204.28,100,f,strict_14_with_grace_period,f,379.82,f,27.89265136,2.236067977,14.29265546,1,2,7
96.40529571,1,t,South End,Apartment,Shared room,2,1.5,1,Real Bed,17,204.28,72.07,f,flexible,f,77,t,1,1.414213562,14.29265546,1.414213562,4,6
96.40529571,1,t,Downtown,Apartment,Entire home/apt,2,1,1,Real Bed,11,204.28,72.07,f,moderate,f,285,f,1,1.414213562,14.29265546,4.472135955,1,6
96.40529571,2,f,Fenway,Apartment,Entire home/apt,4,1,1,Real Bed,18,204.28,72.07,f,flexible,f,100,f,1.414213562,2,14.29265546,2.449489743,3,6
99,778,f,Chinatown,Apartment,Entire home/apt,3,1,1,Real Bed,37,204.28,100,f,strict_14_with_grace_period,f,469.85,f,27.89265136,1.732050808,14.29265546,1,2,5
96.40529571,1,t,North End,Apartment,Entire home/apt,4,1,2,Real Bed,13,204.28,15,f,flexible,f,125,f,1,2,14.29265546,1,3,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,2,1,1,Real Bed,19,500,115,f,strict_14_with_grace_period,f,285,t,1,1.414213562,22.36067977,3,2,6
96.40529571,2,t,Jamaica Plain,Condominium,Entire home/apt,2,1,1,Real Bed,13,204.28,72.07,f,flexible,f,100,t,1.414213562,1.414213562,14.29265546,1,3,6
96.40529571,1,t,South End,Apartment,Entire home/apt,7,2,2,Real Bed,14,204.28,50,f,strict_14_with_grace_period,f,200,f,1,2.645751311,14.29265546,1,2,3
96.40529571,2,t,Allston,Apartment,Private room,2,1,1,Real Bed,17,204.28,72.07,f,flexible,f,50,t,1.414213562,1.414213562,14.29265546,1,4,6
96.40529571,1,f,Fenway,Apartment,Entire home/apt,2,1,0,Real Bed,11,204.28,72.07,f,flexible,f,110,f,1,1.414213562,14.29265546,1.414213562,3,6
96.40529571,1,f,Fenway,Apartment,Private room,2,1,1,Real Bed,10,204.28,72.07,t,flexible,f,90,f,1,1.414213562,14.29265546,1,5,6
96.40529571,1,t,Mission Hill,Apartment,Entire home/apt,2,1,0,Real Bed,12,204.28,72.07,f,flexible,f,106.55,t,1,1.414213562,14.29265546,1.732050808,3,6
96.40529571,1,f,East Boston,House,Entire home/apt,6,2,3,Real Bed,18,500,100,f,moderate,f,329.18,t,1,2.449489743,22.36067977,1,3,3
96.40529571,1,f,Fenway,Apartment,Private room,2,1,1,Real Bed,16,204.28,24,f,strict_14_with_grace_period,f,298,t,1,1.414213562,14.29265546,1.414213562,4,6
96.40529571,1,t,East Boston,Apartment,Private room,4,1,1,Real Bed,16,204.28,72.07,t,flexible,f,70,t,1,2,14.29265546,1,5,6
96.40529571,2,f,Fenway,Apartment,Private room,2,1,1,Real Bed,19,204.28,72.07,f,flexible,f,50,t,1.414213562,1.414213562,14.29265546,1.732050808,4,6
96.40529571,1,t,Downtown,Apartment,Private room,4,1,1,Real Bed,24,204.28,72.07,f,flexible,f,135,t,1,2,14.29265546,1.732050808,4,6
96.40529571,1,f,South End,Apartment,Entire home/apt,4,2,2,Real Bed,21,204.28,72.07,f,flexible,f,250,f,1,2,14.29265546,1.414213562,3,3
96.40529571,1,t,Brighton,House,Private room,2,1,1,Real Bed,11,169,17,f,flexible,f,45,f,1,1.414213562,13,1,4,6
96.40529571,1,t,Fenway,Apartment,Entire home/apt,5,2,2,Real Bed,18,204.28,72.07,f,flexible,f,500,f,1,2.236067977,14.29265546,3.605551275,3,3
96.40529571,1,t,West End,Apartment,Private room,1,1,1,Real Bed,18,300,50,f,strict_14_with_grace_period,f,60,t,1,1,17.32050808,1,4,6
96.40529571,1,t,South End,Apartment,Entire home/apt,4,2,2,Real Bed,18,150,35,f,moderate,f,185,f,1,2,12.24744871,1.732050808,1,6
96.40529571,1,f,South End,Apartment,Private room,2,1,1,Real Bed,15,220,40,t,strict_14_with_grace_period,f,173.44,t,1,1.414213562,14.83239697,2.645751311,5,6
96.40529571,1,f,North End,Apartment,Entire home/apt,2,1,1,Real Bed,12,204.28,25,t,flexible,f,145,t,1,1.414213562,14.29265546,2.449489743,3,6
96.40529571,2,t,Jamaica Plain,Apartment,Entire home/apt,4,1,2,Real Bed,13,204.28,72.07,f,flexible,f,150,f,1.414213562,2,14.29265546,1,3,6
96.40529571,1,f,South Boston Waterfront,Condominium,Entire home/apt,2,1,1,Real Bed,27,204.28,72.07,f,flexible,f,200,t,1,1.414213562,14.29265546,1,3,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,2,1,0,Real Bed,10,204.28,50,f,strict_14_with_grace_period,f,150,f,1,1.414213562,14.29265546,2.828427125,2,6
96.40529571,1,t,Mission Hill,Apartment,Private room,3,1.5,1,Real Bed,17,200,60,f,moderate,f,104.99,f,1,1.732050808,14.14213562,4.898979486,1,6
100,1,t,Chinatown,Apartment,Entire home/apt,4,1,2,Real Bed,16,100,50,f,moderate,f,264.25,f,1,2,10,2.645751311,1,6
96.40529571,1,t,Fenway,Apartment,Entire home/apt,2,1,1,Real Bed,12,204.28,72.07,f,flexible,f,150,f,1,1.414213562,14.29265546,2.236067977,3,6
96.40529571,1,t,Allston,House,Entire home/apt,3,1,1,Real Bed,11,204.28,72.07,f,flexible,f,65,f,1,1.732050808,14.29265546,1,4,6
96.40529571,1,t,South Boston,House,Entire home/apt,5,2,2,Real Bed,12,204.28,72.07,f,flexible,f,350,t,1,2.236067977,14.29265546,1,3,3
99,778,f,Fenway,Apartment,Entire home/apt,3,1,1,Real Bed,34,204.28,100,f,strict_14_with_grace_period,f,481.63,f,27.89265136,1.732050808,14.29265546,1,2,5
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,3,1,0,Real Bed,15,204.28,72.07,f,moderate,f,110,t,1,1.732050808,14.29265546,1.414213562,1,6
96.40529571,1,t,Brighton,Apartment,Entire home/apt,2,1,1,Real Bed,12,204.28,60,f,flexible,f,100.44,t,1,1.414213562,14.29265546,1,3,6
96,16,f,North End,Condominium,Entire home/apt,2,1,0,Real Bed,15,500,145,f,strict_14_with_grace_period,f,125,f,4,1.414213562,22.36067977,1.414213562,6,6
96.40529571,1,t,Fenway,Apartment,Private room,2,1.5,1,Real Bed,17,100,72.07,f,moderate,f,106.38,t,1,1.414213562,10,1,1,6
96.40529571,1,f,Mission Hill,Apartment,Private room,1,1,1,Real Bed,17,204.28,72.07,f,flexible,f,62.84,t,1,1,14.29265546,1.414213562,4,6
100,13,t,Brighton,Apartment,Entire home/apt,10,1,3,Real Bed,28,600,200,f,strict_14_with_grace_period,f,576.41,t,3.605551275,3.16227766,24.49489743,1.414213562,2,2
96.40529571,2,t,Beacon Hill,Apartment,Private room,3,1,1,Real Bed,15,100,72.07,f,moderate,f,85.7,f,1.414213562,1.732050808,10,5.916079783,1,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,5,2,3,Real Bed,23,300,72.07,f,strict_14_with_grace_period,f,450,t,1,2.236067977,17.32050808,1,2,3
96.40529571,1,t,Jamaica Plain,Apartment,Private room,2,1.5,1,Real Bed,10,150,25,f,moderate,f,67.13,t,1,1.414213562,12.24744871,3,1,6
96.40529571,1,f,South Boston,Apartment,Entire home/apt,1,1,1,Real Bed,16,204.28,72.07,f,flexible,f,134,t,1,1,14.29265546,1,3,6
96.40529571,1,t,South End,Apartment,Entire home/apt,4,1,2,Real Bed,16,204.28,100,f,moderate,f,300,t,1,2,14.29265546,1,1,3
96.40529571,1,t,Dorchester,Apartment,Entire home/apt,4,1,2,Real Bed,16,204.28,25,f,flexible,f,175,f,1,2,14.29265546,1.732050808,3,6
96.40529571,2,t,Brighton,House,Private room,2,1.5,1,Real Bed,0,204.28,72.07,t,flexible,f,75,f,1.414213562,1.414213562,14.29265546,1,5,6
96.40529571,1,f,South Boston,Condominium,Private room,2,1,1,Real Bed,26,204.28,72.07,f,flexible,f,125,t,1,1.414213562,14.29265546,1.732050808,4,6
